Gene Symbol	Gene ID	
C19ORF53	-	
FLRT3	100158214	
DEAF1	100512152	
U6	-	
CASP8	595105	
GCC2	100512405	
ZDHHC19	100512740	
WBSCR22	100525688	
FRAP1	-	
HEBP2	100155860	
ssc-let-7g	-	
CD9	397067	
CHST13	100519444	
FCHO1	100518178	
MFRP	100520397	
PPA1	100155201	
MORF4L2	100524842	
GNB1L	100153889	
AKR1B1	396816	
MT-CO1	-	
IL13RA2	100156991	
HAUS2	100511852	
FUNDC1	100518350	
U6	-	
C1QTNF7	100233173	
CHST11	100157186	
FBXO17	100519028	
CIB1	100157484	
NIP7	595107	
PRR14L	100156356	
BCAR1	100127482; 100621541	
SRSF7	100518189	
SGOL2	100522763	
REPS1	100154803	
ARID3B	100521805	
DRG1	100157976	
ADAMTS1	497061	
WDR46	100154206	
CDK10	100233178	
ASH1L	100155920	
SCARNA17	-	
GFM2	100517638	
AADAT	100152011	
TCEAL4	100153499	
BAI3	100736796; 100153298	
PHOSPHO2	100152929	
U6	-	
ZFYVE19	100154961	
CISD1	-	
ABCC9	100127449	
PNMAL1	-	
BRD4	100533540	
NSUN3	100625260	
LFNG	100524978	
IPO7	100626508	
U2	-	
U6	-	
TXN2	100158080	
snoU13	-	
ssc-mir-2320	-	
TLR8	397384	
HNRNPA2B1	100521762	
PRR2	100038012	
ZNF207	100521516	
RNF157	100522340	
C6ORF221	-	
LRRC32	100522452	
GPR120	-	
ESR1	397435	
C6ORF70	-	
AVL9	100624970	
MTMR2	100518140	
TLK1	100157412	
COL5A1	397533	
GBA2	100155655	
KHK	100523241	
DCAF5	100154936	
CRYGS	100155317	
SLC35D2	100626444; 100514312	
GP2	100303610	
KCNK13	100623906	
U2	-	
TRAK2	100511477	
C3ORF45	-	
ITPRIP	100156217	
MCCC2	100518224	
JMY	100510894	
RNF130	100519887	
GTF2I	100513345	
MGST2	100513365	
U6	-	
RBM20	100157563	
GPR17	102162410	
MAB21L2	100519500	
DPYS	100156500	
CTPS	-	
FSD1	100523485	
TBXAS1	397112	
RAB32	100144496	
WNT3	100519512	
CAPN5	100524513	
C1ORF84	-	
GPRASP2	100523415	
RPS2	-	
5S_rRNA	-	
KIAA1539	-	
KIAA1217	100519102	
CSRP2BP	100152392	
RAP2C	100511975	
TAAR5	100152802	
U6	-	
SETX	100511239	
RGL2	100151794	
KLHL7	100621032	
C22ORF36	-	
U6	-	
RNF41	-	
SLC16A5	100514790	
ATP5A1	100157880	
USP21	100152455	
AGPS	100627169	
NUP62	100523497	
PPP1R12A	397190	
KCNMB2	100271877	
RNF7	100514874	
U6	-	
KIAA1429	-	
RBBP4	100620677	
GNG10	100515992	
ISL1	-	
DEFB123	100521232	
DNAH10	100157315	
U6	-	
MSI2	-	
SLC39A3	100515818	
ZNF410	100512059	
CERS1	100525450	
SNCAIP	100049698	
HACE1	100156102	
SMC6	100517523	
ALDH1B1	100156278	
POU3F2	100157279	
PCNXL2	100158027	
SATB2	102160784	
GNB1L	100153889	
7SK	-	
GLIS3	100523225	
NTRK3	397511	
STARD5	100523317	
TUBG1	100518929	
BNIP3	-	
SEMA3G	100157653	
PLEKHH2	100512894	
U6	-	
ARHGEF25	100517091	
MPI	100153707; 100154551	
MED4	100520327	
U6	-	
C1R	445464	
UBA6	100512547	
MUTED	-	
CAT56	-	
TSN	-	
MAVS	100037290	
CPNE3	100152057	
C9ORF174	-	
NDUFB8	448979	
SERINC4	100153748	
CYP7A1	448985	
ENDOD1	100526236	
CASQ1	399506; 100156448	
BAT4	-	
U4	-	
SNORA19	-	
CA13	100152714	
RNF182	100154575	
SLC19A2	-	
PDE4B	100037941	
BNIP1	100521935	
SUPT7L	100521661	
TTC37	100522857	
SNORA70	-	
U6	-	
ANK1	100155697; 100157679	
PCBP3	-	
FNDC7	100155482	
UGT8	-	
GPA33	102163953	
SNORA18	-	
CDC23	100515014	
ACTR2	100174962	
SNORA31	-	
SMAD1	397016	
ATP6V1G3	100522819	
MORN2	100519139	
RNF214	100510972	
ZNF317	100510891	
PFKFB3	-	
CYB5R1	100511951	
BCL3	100738193	
TMEM106B	100512621	
C6ORF106	-	
PCDH8	100155738	
AP1B1	100157709	
ZNF786	100624957	
RCN1	100516484	
CNTRL	100153004	
SATB1	100155111	
NAA38	100522950	
WDR77	100156038	
PEX5L	100524828	
SLA-8	100135036	
THOC2	100154832	
U2SURP	100517309	
WDR92	100515478	
KCNAB2	397248	
U6	-	
AASS	100513962	
IPO4	100157703; 100520918	
FAP	100736572	
PHF8	100520413	
LYST	100049676	
RCOR3	100510922	
MFGE8	397545	
TPST1	100517581	
OR6N1	-	
AGXT2L2	-	
SDCBP	100151838	
GCNT3	100522112	
GABRG2	100516405	
ACP1	-	
LRCH2	100155794	
PRPF40B	100515026	
RPL30	100156811	
EPS15L1	100514037	
VSIG10	100153531	
DCK	100517354	
CHAC2	100517647	
B3GNT7	100518402; 100737088	
DHRS4	397082	
FGA	100626178	
C20ORF27	-	
C9ORF174	-	
RAB39	-	
LGALS8	100156193	
TBC1D30	100623817; 100512468	
ssc-mir-363-2	-	
ADAT1	100521793	
GPR52	100518923	
MTRF1L	100514202	
PHF16	100521831	
BLG	-	
TTYH3	100525332	
TMEM63C	102158165	
C14ORF43	-	
MAF1	100526048	
ARAF	397601	
MGMT	100155050	
PET112	100518383	
CD2BP2	100621208	
TSC1	100154726	
CCNYL1	100520645	
DLG1	100157729	
SNORA36	-	
DAPK1	100516103	
TMEM62	100624103	
MRPL48	100516686	
CTAGE5	100155295	
NCOA5	100156384	
C2CD3	100514911; 100516869	
HSP90AA1	397028	
MT-CO3	-	
PRDM6	100512039	
DNMT3B	100157873; 100302109	
RBM17	100515920	
LONRF1	100525314	
C8A	100037953	
SCUBE3	100152993	
CCDC38	100157054	
SYNE4	100521795	
GUSB	100144519	
FAM70A	-	
GTSF1	100521495	
7SK	-	
RICTOR	100519575	
ANKRD33B	-	
BAG2	100522554	
PIDD	102167527	
BDNF	397495	
A1BG	100516980	
DCPS	396689	
U6	-	
TDRD6	100156566	
UBE2V1	100512077	
SYT7	100521541	
PHF19	100156643	
WDTC1	100190994	
HNRNPUL1	100622274	
SCARNA8	-	
PLEKHF1	100522869	
COG7	100627695	
U6	-	
LAMA2	100154420	
CYTL1	100624008	
SQLE	100113409	
ssc-mir-217-2	-	
PAFAH1B1	397482	
LTBP1	100627243	
ATP5I	396950	
SNORD83	-	
GPR158	100622098	
CARS	100516312	
OR52N5	-	
STRADA	100513305	
FAM122B	100517991	
VEGFB	100521837	
CAV2	100125375	
DCAF7	100514182	
MGAT3	100625969	
NIPSNAP1	100152826	
INSL6	-	
NTF3	100144493	
NOD3	-	
COX8A	-	
SNORD103	-	
GCM1	414910	
ECSIT	100519412	
CLVS1	100151841	
PRKAR1B	-	
PRRC2B	100511912	
SNORA31	-	
FAU	396977	
POSTN	100152401	
FAM116A	-	
FAM69C	100737395	
HSDL2	100155587	
DHX58	100524520	
RBM18	100154045	
RSPH4A	100524228	
COPZ1	100156765	
ENOX2	100525626	
SCA2	-	
CSRNP3	100515450	
RHBDL2	100514296	
5S_rRNA	-	
MATA2	-	
COL6A3	100101551	
PLIN5	-	
JTB	100145894	
VIM	407747; 100522394	
SMC3	100151864	
MAP4K4	100518724; 100516547	
ZSCAN29	100157803	
ssc-mir-27a	-	
CD300C	100514248	
XYLB	100628009	
SDHB	414412	
FBL	100626002	
SNORA31	-	
TARS2	100620180	
OR5B2	-	
EIF4E3	100525891	
WFDC1	100514648	
RGS10	100152559; 448968	
C11ORF20	-	
GPR156	100522832	
LIFR	397451	
ATP2B2	100625418	
E2F3	100154407	
DYNC1I1	100523985	
OR6P1	-	
GLS2	100738224	
AP5B1	100511736	
PRKAG1	414426	
AGXT2	100513890	
PGCP	100157979	
NKRF	100155370	
SNORA21	-	
ZSCAN16	100152501	
SCRT1	100515657	
SLC25A33	100517764	
RPS12	397650	
CLDN10	100153752	
PPP2R5A	100101925	
RGP1	100154802	
ZCCHC11	100516979	
ASCL3	100518920	
CASR	100520980	
5S_rRNA	-	
RPSA	641351	
WNT3A	100514950; 100286862	
UTP18	100517967	
7SK	-	
TMPRSS11F	100513296	
MARCH8	100157416	
MOSC2	-	
5S_rRNA	-	
TDP1	100153247	
HELLS	100154547	
TMC4	100521320	
HOXA11	100521236	
7SK	-	
ARG2	100155893	
PHF2	100514572	
HBA	-	
NHLRC3	-	
TGFBI	100519300	
SETD7	100626704	
HACE1	100156102	
CNTD2	100522141	
PABPC4	100515840	
TMEM140	100523705	
OR51I1	-	
FAM115A	-	
PIT-I	-	
CDK3	100523273	
PLIN2	397402	
STMND1	100524942	
TBC1D30	100623817; 100512468	
KIF1B	100525927	
ssc-mir-455	-	
CHN1	100513051	
BPNT1	100515917	
GALM	399536	
DNER	-	
CD8B	396636	
RNF40	100515077	
SI	100623884	
GRWD1	100521273	
U6	-	
USP3	-	
TMEM239	-	
GTPBP1	100520611	
APOF	-	
RPA1	100525428	
TNFRSF19	100521146	
PUS7L	100155187	
MPHOSPH6	-	
MFN2	100512172; 100512354	
U6	-	
U2	-	
IL12B	397076	
OPA1	100522705	
DRGX	100154590	
UBE2K	-	
CX3CL1	100621027; 100037930	
CXorf65	-	
EXOC2	100520314	
PC	397630	
VTI1B	-	
DUSP13	100154205	
ARFGEF2	100523757	
ACSF2	100512859	
TNFRSF19	100521146	
U6	-	
U6	-	
U6	-	
SNORA31	-	
PAK2	100511837	
FAM133A	100519754	
RPSA	641351	
DDX4	431672	
EMC8	100737206	
TTC3	100515415	
CORO2A	100157077; 100511910	
INCENP	100516847	
SEPT5	100156312	
AP3S2	100153862	
SLC44A5	100513866	
U6	-	
ADHFE1	100521620	
LHX4	100620544	
DET1	100521834	
S100A10	100515138	
RPS27L	100738416	
COMMD1	100521368	
RET	100155053; 100153852	
CPNE1	100233174	
NAA25	100155417; 100157031	
PELI2	100152019	
TTYH1	-	
EIF2D	100519862	
NAGK	100523729	
MLLT1	100517879	
UBASH3B	100521108	
PRSS48	102163040	
C1ORF198	-	
NUP214	100155564	
PPP1R12A	397190	
IL13RA1	397615	
PDPN	100738269	
5S_rRNA	-	
RPP30	100156540	
TRABD	100519151	
ssc-mir-744	-	
ZKSCAN1	-	
OR6J1	-	
LIN7A	100511198	
ssc-mir-9-2	-	
5S_rRNA	-	
FAM3C	100511668	
FBXW9	100519242	
SEC23A	100155766	
HOXA2	100519993	
DCAF8	100153655	
SEPT7	100523875	
TOMM22	100520786	
LYPD1	100151939	
SCARNA6	-	
BAT8	-	
MTDH	100153168	
C10ORF12	-	
BMPR2	100127483	
BAZ2B	100523825	
PLEKHH3	100518749	
TMEM47	100157181	
AGK	100233170	
BANF2	100521936	
COQ5	100157055	
MRPS28	100152709	
SVOPL	100519751	
DHX32	100152252	
TAX1BP3	100515576	
SNORA31	-	
FOXQ1	100152843	
ASF1A	100519343	
ATP11C	100523658	
KDM3A	100517522	
LURAP1	100525230	
CATSPERG	100516914	
RGP1	100154802	
NECAB1	100737996	
BRAT1	100623177	
STAG1	100525610	
CBX3	100622432	
HPS3	100049673	
PITPNM2	100152515	
DNAL1	100156521	
TTLL3	-	
IMMP1L	100514893	
IMP3	100151831	
SFT2D2	100157189	
U6	-	
RIMKLA	100522878	
ZNF488	100519569	
SUZ12	100294712	
RNF4	692189	
CLCC1	100155876	
PSMD3	-	
TRAT1	-	
TMED6	100517589	
DOCK5	100510985	
ZNF18	100518217	
SLA-DQB*G07	-	
SNORA51	-	
MTR	397300	
SCD	396670	
GGTA1	396733	
SDC2	100152754	
5S_rRNA	-	
SLA-DOB	100135049	
C1ORF43	-	
SEC22C	100155377	
ATF7IP	100513013	
DCTN3	100521815	
PPHLN1	100522617	
IMMT	100738124	
DDC	396857	
SF3B1	100157887	
C2ORF76	-	
SNORA11	-	
GLT25D1	100517457	
U6	-	
SOX17	100154087	
ssc-mir-124a-1	-	
DUSP7	100521473	
C17H20ORF85	-	
BLCAP	100155728	
SAAL1	100526207	
FAM195A	-	
ATHL1	100518005	
MAP7D1	100511265	
TARBP1	100152410	
ALG14	100157203	
CRAT	100127351	
SQSTM1	100518718	
ERO1LB	100154974	
ASPDH	100511638	
SF3A3	100512288	
PDIA5	100518582	
METTL13	100512915	
ZNF496	100518601	
CH242-69D5.1	-	
ZIC1	100153570	
ANKRD44	100620944	
DIS3L2	100153005	
TTLL9	-	
MARCH10	100515922	
ssc-mir-326	-	
XK	100511169	
EEF1G	397022	
WISP1	100739115	
5S_rRNA	-	
MTDH	100153168	
IFN-OMEGA-5	100154098	
ARHGEF11	100157291	
SLC25A4	100517196	
CIZ1	100157558	
BCL7A	100736875	
FOXP1	100525716	
ANKMY2	100627896	
PBXIP1	100151902	
FBXO15	100516237	
ZNF143	100626411	
EGR2	100038004	
LRRC48	-	
TAS1R1	-	
PHF11	100518446	
KHNYN	100158093	
PAX6	100514152	
TSEN2	100525362	
PRKAA1	100145903	
PRKAA2	397504	
SNORA21	-	
CHAF1A	100524302	
RCCD1	100155673	
CDCA3	100153312	
ME1	397538	
TCEA1	100157724	
COIL	100525713	
CABP2	-	
BTC	100505411	
PSD2	100525214	
PLCB2	100157641	
C6ORF118	-	
SNORA70	-	
MAPK14	100156630	
TAPT1	100626638	
SLC23A1	-	
ADIPOR2	404694	
SLC6A1	100156668	
CCNK	100157799	
DMD	497636	
NNAT	449004	
SSBP2	100515711	
TMED4	100515808	
BMP5	100151964	
RAPGEF2	100517409	
TNKS2	100154520	
RGS21	100511580	
CPNE1	100233174	
PSMC6	100154148	
FAM53B	100153610	
MRPL27	100514487	
PLEKHD1	-	
NFYB	100157587	
TGOLN2	-	
TPM3	414388	
KIAA1024	100622753	
PHKG2	100310801	
FUT4	100513419	
U6	-	
GNPDA2	100516092	
ELP4	100514702	
ADARB1	100738427	
LIAS	100627627	
C19ORF66	-	
DCUN1D1	100624319	
FBXL3	100152980	
NEU2	100738467	
EIF1	-	
GABRA1	100516706	
U6	-	
DCT	574066	
NUDCD3	100513575	
UHRF1BP1L	100511566	
P2X7R	-	
SLC27A3	100157568	
KCNAB1	100125830	
DNAJB11	100152894	
UBE2U	100519034	
U1	-	
USP24	100620405	
C10ORF107	-	
MZT1	100521289	
DBH	733609	
U6	-	
STIP1	100623923	
WBP2	100521149	
ARL10	100624464	
ZNF643	100511204	
TAF3	100626777; 100620508	
KLHL6	100625137	
APC1	-	
PSD	100157049	
MAGOHB	100518306	
ZMIZ1	100153816	
PRDM15	100518450	
TNP4	-	
LMTK2	100521078	
PLXNA1	100624579	
U6	-	
MKKS	100157552	
U6	-	
SCRN3	102164242	
snoR38	-	
MUSK	100515121	
GCLC	100522018	
C8A	100037953	
BCAS4	100141422	
ANKRD39	100525640	
TANC2	100515233	
DARS	100524908	
C3ORF64	-	
ING4	102161011	
U6	-	
ERCC6L	100622071	
GLI1	100520490	
PRMT3	100521429	
5S_rRNA	-	
PCOLCE	100627524	
PLCH1	100627163	
GNMT	397444	
U6	-	
U6	-	
SLC25A25	100156347	
CDCA5	-	
ADAMTS1	497061	
SURF6	-	
INPP5J	100510987; 100153509	
ARHGAP26	100520606	
FGB	100514354	
DMXL1	100523116	
U6	-	
CCDC81	100521208	
BAG1	100513225	
KRTDAP	100515206	
ATP2B1	397636	
NEU1	100124381	
UCK1	100525976	
LEF1	100170126	
DNASE2	397398	
DENND1A	100512328; 102166001	
DNAJC19	100154656	
SETD5	100152258	
C20ORF165	-	
OR12D3	-	
FBXL7	100521047	
YIF1A	100521064	
LSM14A	-	
ELP2	100621519	
REG4	100154580	
MBF1	100736774	
NACC1	100524850	
EPHX2	414425	
C12ORF4	-	
FRZB	100152419	
SH2D1A	-	
C9ORF173	-	
SUPT4H1	100515097	
FBXO6	100524148	
ZNF710	100152649	
MAP3K1	396617	
TPR	100520507	
ACAA	-	
DMXL1	100523116	
XRN2	100517201	
UCAL-P19	100302704	
SLC39A14	100152468	
GULO	396759	
C12orf57	-	
RAB11FIP1	-	
YIF1A	100521064	
C3ORF54	-	
CADM1	100524756	
SMPD2	100512027; 100152155	
MED13	100628203	
FAM134A	100156393	
C22ORF41	-	
LACTB	100152773	
DNMT3B	100157873; 100302109	
NEURL1B	100522651	
ERCC3	100517918	
NPPA	397496	
CRISP-2	396813	
ADORA1	-	
FZD3	100153078	
FHOD3	100622006	
B3GAT1	100520760	
PLEKHB1	100513608	
SLC1A5	641348	
DNAJC6	406190	
CHMP3	100522249	
COL4A3BP	100518474	
TNFRSF21	100513161	
ERGIC2	100512051	
MRPL42	100519660	
CH242-123K13.1	-	
LCK	100233188	
SNORD14	-	
NHLH1	100512227	
RUFY3	100517663	
SCTR	100521045	
KLF8	100154631	
MORN4	100158004	
TESC	100155189	
ATP2C1	100157931	
POLN	100515392	
TEF1	100216478	
CYP2D6	-	
PGR	396805	
FAM196A	100157876	
RAPGEF5	100518983	
EHF	100526094	
5S_rRNA	-	
PAIP1	100524591	
DSTYK	100525530	
NME2	733683	
MGAT4B	100521073	
ZBED5	100525805	
FGF23	100155339	
NDUFS1	100516402	
ATP1A3	100329126	
MRPL19	100625069	
CPSF4	100518830	
MED12	100157450	
ARV1	100151849	
PAX6	100514152	
TMEM63A	100523988	
C17H20ORF86	-	
USP5	100155342	
HHATL	100523865	
MYOF	100154898	
TMEM198	100623329	
VPS37A	100513122	
METTL9	100628086	
FMO1	397132	
NF1	100526136	
FHL1C	397667	
CD101	100153761	
PDI-P5	-	
EPHB3	100337659	
ARHGAP32	100737798	
DMD	497636	
SGSM1	100152606	
LRWD1	100520239	
PRKAB1	100156537	
FAM198A	-	
VPS13D	100514237; 100737692	
ADPRHL1	-	
GMIP	100517882	
C20ORF202	-	
S1PR2	100511551	
TIMELESS	100525747	
U6	-	
CALCOCO2	100523089	
FNBP1L	100157977	
THYN1	-	
WNT5A	100627056	
SYT3	100511086	
DDB1	100522239	
CTNNA1	100523778	
DOCK3	100519389	
EZR	100152815	
WHAMM	100153988	
NKX2-5	100521411	
HEXA	100142664	
PTGES	654407	
NDUFA5	100525371	
NNT	100526144	
GIT1	100520151	
Y_RNA	-	
ITGA4	100521477	
CHAF1B	100513568	
PRPF8	100526074	
NUCB2	100512826	
CPEB4	100521758	
PIK3IP1	100155147	
EXPH5	100513368	
CDC25C	100144474	
WDR45L	100462760	
CNGB1	102163463	
MPZL2	100513488	
SH2D3C	100151897	
ARFGEF1	100156861	
OR4D10	-	
TNK2	100513310	
MED14	100515423	
MYOT	100101550	
EFNB2	100135673	
NRBF2	100157738	
SLA-8	100135036	
PARL	100739380	
EIF3G	100516956	
KCNAB1	100125830	
ELOVL3	100155434	
BAG4	100738485	
ERCC4	100516427	
GPHN	100153443	
KRAB	100141415	
CASK	100152881	
CADM3	100157273	
HAPLN3	100157078	
GCLM	100153977	
MYBBP1A	100520635	
PFDN5	-	
FAM135A	100513127	
DHX9	100514066	
SEPT3	100157034	
C1ORF54	-	
SERINC4	100153748	
LMO4	100127155	
GTF2H3	100152121	
SNORA76	-	
SH3PXD2B	100524286	
POU2F1	397501	
DCP2	100516785	
PEBP4	100302365	
LRCH3	100514426	
COX5A	-	
SLC25A20	100524459	
RUNX1	100512633	
USF2	100515549	
ILF3	100515360	
SENP3	100625547	
RPGRIP1	100155563	
NUDT2	397577	
RABAC1	595125	
ADAM15	100153483	
C1ORF55	-	
DLGAP5	100511173	
STBD1	100522745	
SH2D3A	100521544	
ECHDC3	-	
MLC-2V	-	
VSIG10L	100624916	
SMG7	100515500	
COPS3	100512312	
STX12	100627750	
ICAM4	-	
CDC25B	100329127	
RAPGEF6	100521255	
RYR3	396888	
SRPX2	100153130	
U6	-	
NXN	100523510	
GOLGA4	100157001	
PSMA8	100513739	
SPTAN1	-	
DYT1	-	
THAP3	102158728	
TATDN3	100523687	
U6	-	
TBC1D22A	100625790	
SASH3	100525094	
COL5A1	397533	
EPC2	100518870	
U6	-	
EEF1D	100737048	
UBE2B	100513527	
NXN	100523510	
GCC2	100512405	
GIMAP1	-	
COX4I1	-	
SH3TC1	100522812	
NDUFB8	448979	
TIGD7	100739783	
RCOR1	100155804	
PARP15	100520273	
EDNRA	397457	
LIN7C	100518294	
MT-ND5	-	
MOB3C	100738460	
FAM102A	-	
U6	-	
U6atac	-	
NFKBIZ	100520981	
ANKRD13A	100522465	
DHX36	100626674	
C3ORF26	-	
FAM3D	100621654	
IL1RL1	100127134	
TST	-	
CDYL	100155291	
EEF1A1	574059	
C9ORF152	-	
GPKOW	100511851	
TCP1	100153485	
MAML1	100520231	
CSTF1	100126292	
SNORD70	-	
RPS18	396980	
NCOA7	100157226	
PDE1C	100525902	
snoU105B	-	
U6	-	
CD47	397042	
TAPBPL	100520908	
XIAP	100037300	
CEP164	100526179	
SKIL	100736597	
CRIM1	100525394	
IKBKE	100519508	
ABCA7	100623892	
HNRNPK	100622191	
NOS1AP	100620568	
REV1	100522795	
SSBP1	100512994	
U6	-	
LPHN2	100524685	
MRTO4	100511136	
PHKA2	100519810	
ANKRD13C	100515670	
NALP7	-	
TMC5	100623809	
ssc-mir-363-2	-	
GJD2	100157488	
BCCIP	100157478	
CPT1A	399527	
NAV3	100622883	
SLC38A10	100626205	
CTPS	-	
RNF43	100517305	
MRPL21	100520357	
RPL7A	-	
ERP27	100153865	
AVEN	102166979	
BOK	100627765	
C12ORF24	-	
SH3BP5	100517856	
MFSD4	100626007	
L3MBTL1	100156973; 100624437	
CHODL	100520642	
ITPR2	102161905	
ANKS1B	100621174	
IRGQ	100523191	
LRWD1	100520239	
FAF1	100518974	
GPR114	100621610	
GTF3C1	100519247	
CCDC42	100514007	
SCUBE2	100519613	
CYP1A2	100152910	
SCN8A	100522189	
ULK3	100520750	
DDX31	100513393	
OR13C8	-	
BPI	100286800	
GTF2IRD2	100620992	
ZNF22	-	
PPME1	100624455	
GCFC1	-	
PIK3R2	100739510	
CHD8	100152723; 100156733	
ABP1	-	
MTDH	100153168	
KPTN	100519546	
C5ORF44	-	
ARAP2	100521564	
MOV10L1	100519488	
SLITRK1	100152470	
SRGAP1	100623414	
COL6A5	100515967	
ANAPC16	100155019	
CDK6	-	
MRPL48	100516686	
WRAP73	100512788	
GPR40	-	
USP20	100157102	
