ID	Symbol
NM_214369	VDAC2
NM_214366	PPP2CA
NM_214366	PPP2CA
NM_214366	PPP2CA
NM_001164513	ZPBP2
NM_001164512	SLC25A3
NM_001164511	BCL2A1
NM_001171753	ATP1A3
NM_001171752	FBXL4
NM_001244831	MARCH3
NM_001244830	IBA57
NM_001144123	SGCD
NM_001144122	SGCA
NM_001195373	ZBTB38
NM_001243294	TMOD4
NM_001243434	TUBB2B
NM_001113217	RPL7
NM_001113439	SFRS18
NM_001130246	LOC100156936
NM_001099935	IKBKB
NM_001099934	TNMD
NM_001130238	LOC100155760
NM_001142669	TEF1
NM_001130219	LOC100153325
NM_001130219	LOC100153325
NM_001243822	AKR7A2
NM_001243821	C5H12orf35
NM_214167	F8
NM_214311	FOLR1
NM_214310	AMH
NM_001098589	HPS4
NM_001243437	LMAN2L
NM_001302771	TMIGD3
NM_001243436	TMIGD3
NM_214319	PKR
NM_214260	NPPA
NM_214242	F12
NM_214242	F12
NM_214242	F12
NM_214195	AMY2
NM_214194	CD40
NM_214203	CLPS
NM_001123189	RHOB
NM_001243922	CMTM7
NM_001243922	CMTM7
NM_001243921	SPAG7
NM_001243919	CUEDC1
NM_001243920	CA4
NM_001244690	TRIM55
NM_001244688	CCDC113
NM_001244687	RPL36
NM_001244685	TMEM101
NM_001244684	ATP5H
NM_001244684	ATP5H
NM_001244681	HABP4
NM_001244680	FNTB
NM_001244680	FNTB
NM_001244680	FNTB
NM_001244679	MFAP5
NM_001159310	PKMYT1
NM_001007111	RNASE10
NM_001123084	BLM
NM_001244299	CATSPER3
NM_001244299	CATSPER3
NM_001244379	LOC100520911
NM_001244773	UXS1
NM_001244772	LOC100513142
NM_001244771	BEX1
NM_001244340	SH3YL1
NM_001243389	TOR1AIP2
NM_001008690	MC1R
NM_001008688	CA3
NM_001145754	TCAP
NM_001135680	USP7
NM_001243445	C5H12orf57
NM_001243444	CLDN10
NM_001243458	RPL26
NM_001243457	METTL11A
NM_214161	NFATC1
NM_214157	SREBF1
NM_214186	TRIM50
NM_214185	MTTP
NM_214301	CAT
NM_214296	RND3
NR_038606	MIR429
NM_001080206	FYN
NM_001145868	TRPC4
NM_001160090	KDM2A
NM_001160090	KDM2A
NM_001159312	SPAG6
NM_001206352	MED20
NM_001145987	TNIP1
NM_001145986	IL12RB1
NM_001145985	TIMP2
NM_001097425	ARNTL
NR_029391	ALAS1
NR_029391	ALAS1
NR_021488	MEG3
NM_001287846	RHEB
NM_001287419	TSSK3
NM_001048071	NIP7
NM_213929	CTSH
NM_001184894	TAF11
NM_001244137	ATP5L
NM_001244133	ABCD3
NM_001244749	DYNC2LI1
NM_001243946	KRCC1
NM_214434	CSN2
NM_214378	RH
NM_214377	CD19
NM_214376	AREG
NM_001170518	SOCS6
NM_001123193	AZIN2
NM_001123203	PMEPA1
NM_001166312	IFN-DELTA-6
NM_001206441	TAP2
NM_001206441	TAP2
NM_001206438	TRY
NM_001206434	FADS3
NM_001206431	APC2
NM_001243950	RAB17
NM_001243950	RAB17
NM_001197305	STAT4
NM_001243061	ACTN1
NM_001243122	NCOA4
NM_001243934	CAMK1G
NM_001243934	CAMK1G
NM_001206379	LMF2
NM_001244673	TSPAN12
NM_001244059	DPM2
NM_001243956	TWISTNB
NM_214107	ADM
NM_214124	CDKN2B
NM_214097	IL12RB2
NM_001134358	RTL1
NM_001134358	RTL1
NM_001134358	RTL1
NM_001123104	CTSZ
NM_001164856	LCAT
NM_001164855	IFN-ALPHA-16
NM_001164854	IFN-DELTA-5
NM_001142831	CWF19L2
NM_001142829	C1QTNF2
NM_001194974	EIF2C3
NM_001129805	CPT1A
NM_001129805	CPT1A
NM_213909	GLUL
NM_001252098	BIVM
NM_001252194	BCL2L11
NM_001252101	STAT6
NM_001267893	NR5A2
NM_001243866	RDH16
NM_001243865	CD151
NM_001243864	FAM113A
NM_001077229	SRSF2
NM_001077230	RIT1
NM_001145019	AGPAT6
NM_001144930	NFYB
NM_001144926	PSMB6
NM_001145022	LOC100270682
NM_001258350	GJA10
NM_001037148	ADRA2B
NM_001184946	LY75
NM_001184895	PMM1
NM_001097492	PCD1E
NM_001083931	SLC27A1
NM_001083930	HR
NM_001077221	TRA2B
NM_001100188	CAPN2
NM_001097485	HSBP1
NM_001044603	PARK2
NM_001112692	FTO
NM_001112692	FTO
NM_001078666	PSEN2
NM_001097498	TNFSF13B
NM_001083941	ACE
NM_001085443	SEP15
NM_001102679	SFTPB
NM_001032379	MOBKL3
NM_001005153	COL10A1
NM_001190423	MBOAT4
NM_001135964	WDTC1
NM_213743	FUNDC2
NM_213740	PAQR8
NM_213739	PAQR7
NM_213739	PAQR7
NM_213734	APTX
NM_001256770	NLRP3
NM_213764	RPS23
NM_213737	PPGRP-S
NM_214044	DPYD
NM_001164509	CRABP2
NM_001243217	CROT
NM_001122995	OAZ2
NM_001123105	DDR1
NM_001243339	LUM
NM_001243338	PLA2G12B
NM_001243337	RASSF4
NM_001244338	LOC100620451
NM_001244164	PRIM2
NM_001244163	DNAJA1
NM_001038001	MITF
NM_001123198	ST7
NM_001097476	PSMB7
NM_001078667	PSEN1
NM_001044550	PFKM
NM_001077227	UCHL3
NM_001044611	ALDH2
NM_001044552	LOC733603
NM_001044551	CKMT2
NM_001078664	APOA1BP
NM_001114269	ACACA
NM_001129972	CD209
NR_038502	MIR103-1
NM_001244497	FBXO21
NM_214342	OXSR1
NM_214304	PSME1
NM_214272	TGFBR3
NM_214370	ADIPOQ
NM_001145866	CLEC7A
NM_001145753	TRPM2
NM_001145752	SLC22A4
NM_001145751	TRPC1
NM_001145751	TRPC1
NM_001025218	ATP5G1
NM_001004037	PLA2G1B
NM_001001646	C5
NM_001006591	P2RY2
NM_001134964	KISS1
NM_001134824	CYP3A46
NM_001097511	MAEL
NM_001097475	NUDFV2
NM_001033014	MYBPH
NM_214019	DHRS4
NM_214008	OPTC
NM_214005	OSTF1
NM_214076	KMO
NM_213894	GAD1
NM_213893	ZP3
NM_213903	ITIH2
NM_213903	ITIH2
NM_213903	ITIH2
NM_213903	ITIH2
NM_213902	SLC22A2
NM_213904	GANAB
NM_214001	TFRC
NM_213901	PCCB
NM_213900	RENBP
NM_213889	STAT2
NM_213889	STAT2
NM_213889	STAT2
NM_213889	STAT2
NM_214002	ITGB3
NM_001243061	ACTN1
NM_001243840	KLHDC4
NM_001243838	EFCAB4A
NM_001243831	CIR1
NM_001243831	CIR1
NM_001204400	PLA2G4B
NM_001114281	RELA
NM_001114280	MAP3K7
NM_001114279	CHUK
NM_001114278	SCD5
NM_001114277	NOD1
NM_001114277	NOD1
NM_001243685	OBFC1
NM_001243684	THOC6
NM_001243683	PRKAB2
NM_001243682	UBL7
NM_001243680	TCEA1
NM_001244616	ANKRD10
NM_001243858	LIMS1
NM_001243855	S1PR2
NM_001243854	S1PR2
NM_001243853	C13H3orf25
NM_001243852	STT3A
NM_001130248	SLC26A3
NM_001136212	HAS1
NM_001190215	PTI
NM_001130972	SLC30A4
NM_001130972	SLC30A4
NM_001243560	MRPL40
NM_001243559	MRPL40
NM_001243558	FAM108B1
NM_001244426	LOC396679
NM_001252233	ARFIP1
NM_001244702	CBLN2
NM_001161636	CLDN5
NM_001160074	BCL2L11
NM_001243583	LOC100627175
NM_001278771	CDC16
NM_001278767	GATA1
NM_001278763	CD27
NM_001278761	LOC100624981
NM_001278755	NKL
NM_001278752	LOC100519991
NM_001278750	UGT1A6
NM_001278750	UGT1A6
NM_001271968	PYURF
NM_001271967	PIGY
NM_001271715	LOC100514785
NM_001128482	MGAT2
NM_001128470	FITM1
NM_001128466	DLK2
NM_001128463	ARHGEF2
NM_001099930	FASN
NM_001143714	LIPC
NM_001143712	GZMM
NM_001143711	GZMK
NM_001143699	AGK
NM_213765	SULT1A1
NM_001244745	UBXN8
NM_001244744	CHMP5
NM_001258439	FBXO34
NM_001244526	CCDC91
NM_001244526	CCDC91
NM_001244525	TATDN1
NM_001244524	FGG
NM_001244523	CSF1
NM_001244522	NFATC2IP
NM_001244179	ARID4A
NM_001244640	RTN1
NM_001134348	KLF14
NM_001243851	PQLC2
NM_001243850	FAM193B
NM_001243844	CPOX
NM_001243842	MARVELD3
NM_001243841	MARVELD3
NM_001204775	IFNAR2
NM_001204775	IFNAR2
NM_001204775	IFNAR2
NM_001244312	WIPF2
NM_001244311	GTF2H2
NM_001244310	GDF11
NM_001244309	EZH2
NM_001244308	WRB
NM_001244297	GDF5
NM_001244305	NOP56
NM_001244303	CD300C
NM_001166310	IFN-ALPHA-10
NM_001160078	LOC100157354
NM_001130232	IFN-OMEGA-7
NM_001113286	LOC396897
NM_001166321	IFN-DELTA-2
NM_001097447	RAP80
NM_001166310	IFN-ALPHA-10
NM_001097425	ARNTL
NM_001160078	LOC100157354
NM_001113286	LOC396897
NM_001130232	IFN-OMEGA-7
NM_001044588	FBXO32
NM_001128445	SLC16A1
NM_001128444	F11R
NM_213926	PRL
NM_214129	CYCLT1
NM_001166321	IFN-DELTA-2
NM_001044553	SELK
NM_001042375	ITM2B
NM_001044620	LOC733698
NM_001130230	LOC100153661
NM_001130533	IFN-OMEGA-5
NM_001044591	F7
NM_001101822	NEU1
NM_001130230	LOC100153661
NM_001128467	AQP6
NM_001130533	IFN-OMEGA-5
NM_001123213	VAPB
NM_001244595	SLC24A2
NM_001243029	LIPG
NM_001243301	CCPG1
NM_001243291	RAB35
NM_001243314	FHL5
NM_001243310	CST7
NM_001243297	COL3A1
NM_001164649	SLC1A1
NM_001044567	GATA3
NM_001098583	KRT2
NM_001243502	C14H22orf13
NM_001243501	LYSMD1
NM_001243490	TPST2
NM_001097425	ARNTL
NM_001123209	TRIM26
NM_001097426	DDO
NM_001123206	TPPP
NM_001257275	ADAMTS20
NM_001257225	GPR3
NM_001256779	AKT2
NM_001246269	AUTS2
NM_001244487	APH1A
NM_001244485	PTPRA
NM_001244484	PCDH7
NM_001244548	AP3S2
NM_001244547	CTDSP2
NM_001244546	CMTM5
NM_001244545	SRRM2
NM_001244543	DDX56
NM_001244542	C1H14orf37
NM_001244542	C1H14orf37
NM_001244541	GMPPB
NM_001244539	CLDN1
NM_001244537	CDKN2AIPNL
NM_001244536	THBS1
NM_213990	CLEC5A
NM_001025214	CCL25
NM_001190164	TMEM38B
NM_001204181	AKAP2
NM_001098596	CRYZL1
NM_213911	PGRMC1
NM_214104	VTN
NM_214104	VTN
NM_214094	OCA2
NM_214094	OCA2
NM_214020	EGF
NM_001122983	ODC
NM_001123111	EGFL8
NM_001244148	SERINC2
NM_001244148	SERINC2
NM_001244147	SSR3
NM_001244146	RG9MTD2
NM_001244143	SRI
NM_001244142	SRI
NM_001244641	RTN1
NM_001246214	IFITM2
NM_001244132	SERPINH1
NM_001244131	FTL
NM_001244130	GCET2
NM_001244129	IKBIP
NM_001244128	CXCL14
NM_001244126	MFF
NM_001244126	MFF
NR_035403	MIR500
NM_001244534	SFT2D1
NM_001244800	CD5
NM_001244790	HSD17B3
NM_001142844	LGALS12
NM_001113287	LDHB
NM_001258424	LMX1B
NM_001077217	SRSF6
NM_001123103	ATF6B
NM_001184754	FTSJ2
NM_001252101	STAT6
NM_001099939	ADM5
NM_001099938	MMP12
NM_001099937	ASB6
NM_001146126	LOC100049690
NM_001123092	CBLN4
NM_001123102	CREB3L4
NM_001244090	SET
NM_001031788	RAB11A
NM_001032379	MOBKL3
NM_001097466	PET100
NM_001105288	COL5A3
NM_001167631	LASS4
NM_001167629	ACSL1
NM_001163997	MYL6
NM_001244461	GMFB
NM_001244460	SLC39A2
NM_001244459	SGK1
NM_001244458	ASGR1
NM_001011647	ASIP
NM_001003922	CCL27
NM_001024588	SLC35A3
NM_001031784	ARL1
NM_001038004	MMP9
NM_001031782	KLF4
NM_001031779	CASP8
NM_001031779	CASP8
NM_001007194	MBL1
NM_001012408	DMD
NM_001012408	DMD
NM_001012408	DMD
NM_001025215	CFL2
NM_001018033	GUCY1A3
NM_001012299	SCG2
NM_001012956	PIK3C3
NM_001004048	XPNPEP2
NM_001167651	MOGAT2
NM_001243562	YDJC
NM_001243561	NHLRC2
NM_001123162	PHGDH
NM_001278777	SLC27A2
NR_128477	MIR9795
NR_038604	MIR218B
NR_038610	MIR615
NR_038610	MIR615
NR_128477	MIR9795
NR_128474	MIR9792
NR_128472	MIR9791-1
NR_128467	MIR9788-1
NR_128467	MIR9788-1
NR_128413	MIR29B-2
NR_038600	MIR18B
NR_038583	MIR155
NM_001097422	SPARCL1
NM_001160082	PNPLA4
NM_001160081	CLDN18
NM_001190293	WDR45
NM_001190292	INPP5K
NM_001190292	INPP5K
NM_001190289	IRGC
NM_001246264	ANKS1A
NM_001190210	C15H4orf47
NM_001129969	BAALC
NM_001129967	LEF1
NM_001031793	NAMPT
NM_001098584	GPNMB
NM_001098584	GPNMB
NM_001098584	GPNMB
NM_001113219	MOS
NM_001113064	BDKRB1
NM_001246282	FGF20
NM_001244415	CD200R1L
NR_038531	MIR10A
NR_038530	MIR423
NM_001195779	GKN1
NM_001160080	DGAT2
NM_001160079	CLDN12
NM_001160076	CLDN7
NM_001160076	CLDN7
NM_001146300	FSCN1
NM_001243470	RTCD1
NM_001243472	DUSP13
NM_001243471	SLC46A3
NR_038497	MIR214
NR_038525	MIR30E
NR_038526	MIR199A-2
NM_001190160	CCNC
NM_213755	STAR
NM_001258444	WASF2
NM_001204775	IFNAR2
NM_001139473	PDCD10
NR_045192	LOC100512700
NR_045137	NME3
NR_045043	LOC100511007
NR_045041	LOC100510918
NM_001244650	BANP
NM_001244650	BANP
NM_001244646	NDUFA13
NM_001244639	HRG
NM_001244637	SLC28A3
NM_001244636	CYP4F55
NM_001244634	MSTO1
NM_001244633	CYP2J34
NM_001244632	FBXO6
NM_001244627	TM2D2
NM_001244626	COX10
NM_001244626	COX10
NM_001244626	COX10
NM_001244625	GSS
NM_001244624	EIF3I
NM_001244623	MTDH
NM_001244622	KRT27
NM_001244621	PARVG
NM_001243304	CYP27A1
NM_001167638	ACAA2
NM_001167636	NSDHL
NM_001172364	UQCC
NM_001128480	PPP1R18
NM_001123174	RAB22A
NM_001167628	LOC396643
NM_001123171	PSORS1C2
NM_001123170	PRRT1
NM_001123167	PPT2
NM_001166491	CCL1
NM_001123164	PNMT
NM_001123163	PMF1
NM_001185064	LYPD1
NM_001185049	CPEB2
NM_001184948	SELH
NM_001184947	MASP1
NM_001184946	LY75
NM_001184946	LY75
NM_001244152	NUP93
NM_001243019	KIF22
NM_001244212	GJA1
NM_001198919	PSAP
NM_001199891	LRP8
NM_001199890	VLDLR
NM_001199808	ADCYAP1R1
NM_001199719	SLC37A4
NM_001199718	SIX1
NM_001199363	SCAMC-1
NM_001199363	SCAMC-1
NM_001199132	DHX58
NM_001198926	GZMA
NM_001198922	MAPK1
NM_001198921	ISG12(A)
NM_001198920	SPATA3
NM_001244084	ASCC1
NM_001243632	IMPAD1
NM_001243276	TMEM86B
NM_001195780	PCMT1
NM_001141984	PDX1
NM_001141984	PDX1
NM_001077218	HNRNPA1
NM_001104950	CFTR
NM_001104952	SYK
NM_001077219	UBE2J1
NM_001077213	MIF
NM_001075117	LOC767627
NM_001048188	DMBT1
NM_001048188	DMBT1
NM_001048187	DLK1
NM_001123078	ATF4
NM_001145867	LPCAT4
NM_001112676	SUMO1
NM_001110432	RTFDC1
NM_001123205	TOB1
NM_001206399	ACACB
NM_001078663	PARK7
NM_001123082	BCAS4
NM_214025	PPP2R2B
NM_001174057	PHLDA2
NM_001177910	SUN5
NM_001177908	SPATA7
NM_001031787	RAB1A
NM_001112683	LOC100127152
NM_001139474	SLC30A3
NM_001044540	MEF2C
NR_035394	MIR1307
NR_035401	MIR1839
NR_035395	MIR1306
NR_035379	MIR133B
NM_001044616	NRAP
NM_001098584	GPNMB
NM_001098584	GPNMB
NM_001098584	GPNMB
NM_001114271	SIRT2
NM_001114270	SIRT4
NM_001113062	CRH
NM_001097483	TPM1
NM_214253	PRM1
NM_214251	TGFA
NM_214249	ATP1A1
NM_214275	FTCD
NM_001038008	MET
NM_001007193	ADIPOR1
NM_001184893	RGL2
NM_001243421	CARKD
NM_001031781	CCNG1
NM_001031778	PLIN3
NM_001141986	LPIN3
NM_001141985	GPIBB
NM_001198918	SEC14L2
NM_001198917	OOEP
NM_001244114	HMGN2
NM_001244112	HMGN2
NM_001197307	CMYA5
NM_001197307	CMYA5
NM_001197307	CMYA5
NM_213749	SPAST
NM_213749	SPAST
NM_001197306	STAT6
NM_001123151	NRM
NM_001144124	SGCE
NM_001123076	AMPD1
NM_001044604	PON3
NM_001044604	PON3
NM_001243628	GTF2F2
NM_001190252	NR2F2
NM_001190251	REG4
NM_001190250	KLF8
NM_001190250	KLF8
NM_001190248	HPGD
NM_001190247	SPACA1
NM_001190246	RXRB
NM_001190245	USF1
NM_001243187	MAT1A
NM_001243630	FAM166B
NM_001243629	CTSA
NM_001243627	LAMTOR2
NM_001243625	CES3
NM_001243623	RRAGD
NM_001243622	HSD17B13
NM_001243621	PRKAB1
NM_001243620	DYNC1LI2
NM_001243619	C7H15orf26
NM_001243618	TXNDC15
NM_001243617	ENOSF1
NM_001243568	ASH2L
NM_001190223	C17H8orf40
NM_001190222	C17H8orf40
NM_001190221	COX6A1
NM_001190219	PCBD1
NM_001190220	C15H2orf62
NM_001190220	C15H2orf62
NM_001190218	FAM177A1
NM_001190217	C1H9orf46
NM_001190216	DIABLO
NM_001190213	SNRPF
NM_001190212	DDRGK1
NM_001243525	CNIH
NM_001243524	EEF1B2
NM_001104952	SYK
NM_001078686	ODAM
NM_001206447	GALNTL2
NM_001206445	METTL6
NM_001206443	METTL6
NM_001190190	CHMP4C
NM_001123112	FCAR
NM_001244991	SYNJ2BP
NM_001244991	SYNJ2BP
NM_001244988	NDUFS5
NM_001244987	WFDC1
NM_001244983	MAMDC2
NM_001244980	VBP1
NM_001244979	ACOT13
NM_001244978	PIH1D1
NM_001244977	CAPS
NM_001244976	CAPS
NM_001244975	CAPS
NM_001244971	KCTD1
NM_001244970	KDELR3
NM_001244969	NKAP
NM_001244968	AGR2
NM_001244967	MRPL16
NM_001244966	SLC25A39
NM_001244555	TNFSF15
NM_001244554	TMEM106A
NM_001244553	MRPS9
NM_001258293	MESDC1
NM_001258302	NHLRC1
NM_001258301	GPR84
NM_001244521	INSIG1
NM_001244520	TFAP2B
NM_001244514	PLA2G16
NM_001244513	SHH
NM_001244512	PCBP2
NM_001244511	LOC100517160
NM_001244510	LOC100517160
NM_001244620	TBC1D20
NM_001244620	TBC1D20
NM_001167653	PDSS2
NM_001037146	RPSA
NM_001126101	DLK1
NM_001168420	TIAF1
NM_001168419	ZFP36
NM_001168701	ZNRD1
NM_001168422	B4GALT7
NM_001243641	ZNF205
NM_001243640	DMAP1
NM_001166317	PHKG2
NM_001166316	MNAT1
NM_001166314	CDK7
NM_001166313	CCNH
NR_038507	MIR204
NM_001038005	NR1I2
NM_001123080	ATM
NM_001123080	ATM
NM_001114675	LOC100137083
NM_001126101	DLK1
NM_001123224	RNF5
NM_001123223	PON2
NM_001123223	PON2
NM_001177488	TRHR
NM_001123222	NAGA
NM_001163998	ANXA1
NM_001170827	MAP1LC3A
NM_001170768	CCNB1
NM_001123106	DHX16
NM_001097427	SLA-3
NM_001130731	BYS1
NM_001302672	ZFAND4
NM_001099941	MYOT
NM_001044622	CD36
NM_001105292	TBK1
NM_001105292	TBK1
NM_001105292	TBK1
NM_001105292	TBK1
NM_001105305	SEC62
NM_001097460	SEPX1
NM_001097454	LOC100037957
NM_001164845	IFN-ALPHA-15
NM_001164845	IFN-ALPHA-15
NM_001164844	IFN-OMEGA-3
NM_001164843	IFN-ALPHA-13
NM_001164843	IFN-ALPHA-13
NM_001123148	NPEPL1
NM_001129948	GULO
NM_001123121	GUSB
NM_001123149	NPG1
NM_001184752	TPO
NM_001174133	CALR
NM_001167795	ACTA1
NM_001177912	PNLIP
NM_001177911	SPATA5L1
NM_001243367	METTL9
NM_001167591	TCF19
NM_001243025	ETV5
NM_001243025	ETV5
NM_001190190	CHMP4C
NM_001137640	SLC10A7
NM_001243873	LOC100511639
NM_001243872	LOC100511639
NM_001243870	ASPDH
NM_001243867	RUVBL2
NR_038536	MIR27B
NR_038535	MIR181D
NM_001128452	CYBRD1
NM_001128450	STK19
NM_001128449	C17H20orf86
NM_001128448	CDSN
NM_001128446	RNF39
NM_001243388	HSPB7
NM_001243387	IGSF6
NM_001243383	SLC46A1
NM_001243382	NUBP1
NM_001243381	STX5
NM_001243380	PEX2
NM_001243379	GSTA4
NM_001243378	RNF181
NR_038578	MIR505
NM_001253818	ABR
NM_001253818	ABR
NM_214096	DUOX1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NM_214114	JAK1
NR_038552	MIR374B
NR_038570	MIR19B-2
NR_038563	MIR361
NR_038562	MIR127
NR_038550	MIR100
NM_001097482	TMSB10
NM_001097481	RPS26
NM_001097479	RPL27
NM_001110419	GNMT
NM_001097512	RNASEL
NM_001097477	RPL10A
NM_001190230	KPNA3
NM_001190227	NHP2L1
NM_001190226	NHP2L1
NM_001190225	ANAPC16
NM_001101816	CDK5R1
NM_001272094	ART4
NM_001197194	DICER1
NM_001197021	HSDL2
NM_001206919	DGCR8
NM_001206536	TADA3
NM_001206456	EAF1
NM_001206449	ANKRD28
NM_001243465	PM20D1
NM_001243465	PM20D1
NM_001243464	PLEKHA3
NM_001243463	AKTIP
NM_001243462	LIAS
NM_001243461	SLC7A14
NM_001243468	CD5L
NM_213927	GOT1
